contactados;canales;asesor
114;digital;posgrado
114;digital;pregrado
114;digital;pregrado
114;digital;pregrado
115;digital;posgrado
115;digital;pregrado
115;digital;pregrado
115;digital;pregrado
116;digital;posgrado
116;digital;posgrado
117;digital;pregrado
117;digital;posgrado
117;digital;posgrado
117;digital;pregrado
118;digital;posgrado
118;digital;pregrado
118;digital;pregrado
118;digital;pregrado
120;digital;posgrado
120;digital;pregrado
120;digital;posgrado
121;digital;pregrado
122;digital;posgrado
123;digital;posgrado
123;digital;posgrado
123;digital;pregrado
123;digital;pregrado
124;digital;posgrado
124;digital;posgrado
125;digital;pregrado
125;digital;pregrado
126;digital;posgrado
126;digital;pregrado
127;digital;posgrado
127;digital;pregrado
127;digital;posgrado
128;digital;pregrado
128;digital;pregrado
128;digital;pregrado
128;digital;pregrado
129;digital;pregrado
129;digital;pregrado
130;digital;posgrado
130;digital;posgrado
130;digital;pregrado
130;digital;pregrado
130;digital;posgrado
130;digital;posgrado
131;digital;posgrado
131;digital;posgrado
131;digital;pregrado
132;digital;pregrado
132;digital;pregrado
132;digital;pregrado
133;digital;posgrado
133;digital;pregrado
133;digital;posgrado
133;digital;posgrado
133;digital;posgrado
133;digital;posgrado
133;digital;posgrado
134;digital;pregrado
134;digital;pregrado
134;digital;pregrado
135;digital;posgrado
135;digital;pregrado
135;digital;posgrado
135;digital;pregrado
136;digital;pregrado
136;digital;posgrado
136;digital;posgrado
137;digital;posgrado
137;digital;posgrado
137;digital;pregrado
137;digital;pregrado
137;digital;posgrado
137;digital;posgrado
137;digital;pregrado
138;digital;posgrado
138;digital;posgrado
139;digital;posgrado
139;digital;posgrado
139;digital;posgrado
140;digital;posgrado
140;digital;pregrado
141;digital;posgrado
141;digital;posgrado
141;digital;posgrado
141;digital;pregrado
142;digital;pregrado
142;digital;posgrado
143;digital;posgrado
143;digital;posgrado
144;digital;posgrado
144;digital;pregrado
144;digital;posgrado
144;digital;pregrado
145;digital;pregrado
145;digital;pregrado
147;digital;posgrado
147;digital;pregrado
147;digital;pregrado
147;digital;posgrado
147;digital;pregrado
147;digital;pregrado
148;digital;posgrado
148;digital;posgrado
148;digital;pregrado
149;digital;posgrado
149;digital;posgrado
149;digital;posgrado
150;digital;pregrado
150;digital;posgrado
150;digital;pregrado
150;digital;posgrado
151;digital;posgrado
152;digital;posgrado
153;digital;pregrado
154;digital;pregrado
154;digital;pregrado
155;digital;pregrado
155;digital;pregrado
155;digital;pregrado
155;digital;posgrado
156;digital;pregrado
157;digital;pregrado
157;digital;pregrado
157;digital;posgrado
157;digital;pregrado
159;digital;posgrado
159;digital;pregrado
160;digital;pregrado
160;digital;posgrado
160;digital;posgrado
161;digital;pregrado
161;digital;pregrado
161;digital;posgrado
162;digital;pregrado
162;digital;pregrado
163;digital;pregrado
164;digital;posgrado
164;digital;pregrado
164;digital;pregrado
165;digital;posgrado
166;digital;pregrado
167;digital;pregrado
167;digital;posgrado
169;digital;pregrado
169;digital;pregrado
171;digital;pregrado
172;digital;pregrado
173;digital;pregrado
173;digital;pregrado
173;digital;posgrado
175;digital;posgrado
175;digital;pregrado
177;digital;posgrado
178;digital;pregrado
178;digital;pregrado
179;digital;pregrado
179;digital;pregrado
180;digital;pregrado
180;digital;pregrado
180;digital;posgrado
182;digital;posgrado
184;digital;posgrado
186;digital;pregrado
186;digital;pregrado
187;digital;posgrado
187;digital;pregrado
189;digital;posgrado
189;digital;posgrado
189;digital;posgrado
191;digital;pregrado
192;digital;posgrado
192;digital;posgrado
196;digital;posgrado
196;digital;posgrado
197;digital;pregrado
202;digital;pregrado
253;digital;pregrado
204;digital;pregrado
288;digital;posgrado
216;digital;pregrado
231;digital;pregrado
218;digital;posgrado
201;digital;pregrado
264;digital;pregrado
222;inbound;pregrado
155;inbound;pregrado
259;inbound;pregrado
155;inbound;pregrado
203;inbound;pregrado
185;inbound;posgrado
257;inbound;pregrado
270;inbound;pregrado
200;inbound;posgrado
237;inbound;pregrado
190;inbound;posgrado
250;inbound;pregrado
183;inbound;posgrado
236;inbound;pregrado
286;inbound;pregrado
279;inbound;pregrado
168;inbound;posgrado
199;inbound;posgrado
160;inbound;posgrado
178;inbound;posgrado
176;inbound;pregrado
242;inbound;pregrado
225;inbound;pregrado
258;inbound;posgrado
254;inbound;posgrado
278;inbound;posgrado
267;inbound;pregrado
181;inbound;posgrado
161;inbound;pregrado
159;inbound;pregrado
225;inbound;posgrado
298;inbound;pregrado
210;inbound;pregrado
297;inbound;posgrado
158;inbound;pregrado
220;inbound;pregrado
291;inbound;posgrado
228;inbound;posgrado
246;inbound;posgrado
248;inbound;pregrado
169;inbound;pregrado
257;inbound;pregrado
239;inbound;posgrado
271;inbound;pregrado
175;inbound;pregrado
237;inbound;pregrado
173;inbound;pregrado
265;inbound;pregrado
214;inbound;pregrado
163;inbound;posgrado
229;inbound;posgrado
239;inbound;posgrado
230;inbound;posgrado
249;inbound;posgrado
168;inbound;posgrado
296;inbound;posgrado
209;inbound;posgrado
241;inbound;posgrado
256;inbound;posgrado
267;inbound;posgrado
244;inbound;pregrado
236;inbound;pregrado
180;inbound;posgrado
178;inbound;pregrado
259;inbound;posgrado
278;inbound;posgrado
201;inbound;pregrado
171;inbound;pregrado
289;inbound;posgrado
291;inbound;posgrado
178;inbound;posgrado
151;inbound;pregrado
246;inbound;pregrado
227;inbound;pregrado
209;inbound;pregrado
230;inbound;posgrado
162;inbound;pregrado
298;inbound;posgrado
156;inbound;pregrado
246;inbound;posgrado
266;inbound;posgrado
282;inbound;pregrado
293;inbound;pregrado
156;inbound;posgrado
194;inbound;pregrado
194;inbound;pregrado
156;inbound;pregrado
261;inbound;pregrado
198;inbound;posgrado
297;inbound;posgrado
297;inbound;pregrado
236;inbound;pregrado
229;inbound;pregrado
236;inbound;posgrado
193;inbound;pregrado
230;inbound;pregrado
298;inbound;pregrado
232;inbound;posgrado
232;inbound;pregrado
291;inbound;posgrado
229;inbound;pregrado
179;inbound;posgrado
178;inbound;posgrado
295;inbound;posgrado
281;inbound;posgrado
190;inbound;posgrado
199;inbound;pregrado
207;inbound;pregrado
226;inbound;pregrado
237;inbound;posgrado
282;inbound;pregrado
158;inbound;posgrado
196;inbound;posgrado
195;inbound;posgrado
155;inbound;pregrado
172;inbound;posgrado
231;inbound;posgrado
163;inbound;posgrado
216;inbound;pregrado
205;inbound;pregrado
292;inbound;posgrado
239;inbound;pregrado
165;inbound;pregrado
219;inbound;pregrado
166;inbound;pregrado
178;inbound;posgrado
286;inbound;posgrado
196;inbound;pregrado
274;inbound;pregrado
268;inbound;posgrado
180;inbound;posgrado
295;inbound;posgrado
180;inbound;posgrado
214;inbound;pregrado
164;inbound;posgrado
207;inbound;pregrado
259;inbound;posgrado
228;inbound;pregrado
150;inbound;posgrado
156;inbound;posgrado
297;inbound;pregrado
156;inbound;posgrado
300;inbound;posgrado
236;inbound;pregrado
181;inbound;posgrado
253;inbound;pregrado
227;inbound;posgrado
256;inbound;pregrado
250;inbound;posgrado
189;inbound;pregrado
292;inbound;pregrado
168;inbound;pregrado
207;inbound;pregrado
260;inbound;posgrado
230;inbound;pregrado
172;inbound;posgrado
209;inbound;pregrado
217;inbound;posgrado
165;inbound;posgrado
233;inbound;pregrado
260;inbound;posgrado
276;inbound;pregrado
216;inbound;posgrado
161;inbound;pregrado
276;inbound;posgrado
263;inbound;posgrado
293;inbound;pregrado
257;inbound;pregrado
175;inbound;pregrado
206;inbound;pregrado
262;inbound;pregrado
236;inbound;pregrado
284;inbound;posgrado
294;inbound;posgrado
169;inbound;posgrado
271;inbound;posgrado
298;inbound;posgrado
217;inbound;pregrado
205;inbound;pregrado
271;inbound;posgrado
194;inbound;pregrado
251;inbound;pregrado
265;inbound;pregrado
176;inbound;pregrado
198;inbound;pregrado
154;inbound;posgrado
203;inbound;pregrado
283;inbound;pregrado
264;inbound;posgrado
206;inbound;posgrado
260;inbound;pregrado
162;inbound;pregrado
220;inbound;posgrado
230;inbound;pregrado
299;inbound;pregrado
245;inbound;posgrado
273;inbound;pregrado
256;inbound;posgrado
187;inbound;posgrado
196;inbound;posgrado
269;inbound;pregrado
287;inbound;pregrado
252;inbound;pregrado
163;inbound;pregrado
151;inbound;posgrado
247;inbound;posgrado
273;inbound;posgrado
154;inbound;pregrado
250;inbound;pregrado
187;inbound;posgrado
175;inbound;pregrado
231;inbound;pregrado
281;inbound;pregrado
300;inbound;posgrado
272;inbound;pregrado
264;inbound;pregrado
261;inbound;pregrado
245;inbound;pregrado
279;inbound;posgrado
263;inbound;pregrado
286;inbound;posgrado
179;inbound;pregrado
222;inbound;posgrado
192;inbound;posgrado
297;inbound;posgrado
196;inbound;posgrado
295;inbound;posgrado
228;inbound;pregrado
270;inbound;posgrado
207;inbound;posgrado
168;inbound;pregrado
167;inbound;posgrado
225;inbound;posgrado
287;inbound;pregrado
271;inbound;pregrado
272;inbound;pregrado
175;inbound;pregrado
172;inbound;posgrado
232;inbound;pregrado
168;inbound;posgrado
187;inbound;pregrado
166;inbound;pregrado
265;inbound;posgrado
201;inbound;posgrado
211;inbound;posgrado
236;inbound;pregrado
246;inbound;posgrado
270;inbound;posgrado
280;inbound;posgrado
189;inbound;pregrado
169;inbound;pregrado
250;inbound;pregrado
284;inbound;posgrado
230;inbound;pregrado
210;inbound;pregrado
154;inbound;pregrado
295;inbound;posgrado
240;inbound;posgrado
173;inbound;pregrado
169;inbound;pregrado
269;inbound;posgrado
205;inbound;pregrado
265;inbound;pregrado
151;inbound;pregrado
278;inbound;posgrado
278;inbound;pregrado
255;inbound;pregrado
248;inbound;posgrado
232;inbound;posgrado
181;inbound;posgrado
162;inbound;pregrado
212;inbound;pregrado
286;inbound;pregrado
199;inbound;posgrado
293;inbound;posgrado
257;inbound;pregrado
164;inbound;posgrado
169;inbound;pregrado
180;inbound;posgrado
207;inbound;pregrado
199;inbound;posgrado
277;inbound;posgrado
193;inbound;pregrado
183;inbound;posgrado
300;inbound;pregrado
196;inbound;posgrado
239;inbound;posgrado
273;inbound;posgrado
239;inbound;pregrado
262;inbound;pregrado
227;inbound;pregrado
206;inbound;pregrado
169;inbound;posgrado
296;inbound;posgrado
179;inbound;posgrado
155;inbound;posgrado
267;inbound;posgrado
261;inbound;pregrado
247;inbound;posgrado
201;inbound;posgrado
178;inbound;pregrado
211;inbound;pregrado
255;inbound;posgrado
165;inbound;pregrado
280;inbound;posgrado
171;inbound;pregrado
288;inbound;pregrado
250;inbound;pregrado
277;inbound;pregrado
296;inbound;posgrado
221;inbound;posgrado
258;inbound;pregrado
235;inbound;posgrado
186;inbound;pregrado
157;inbound;pregrado
193;inbound;posgrado
160;inbound;posgrado
155;inbound;pregrado
178;inbound;pregrado
177;inbound;pregrado
189;inbound;posgrado
164;inbound;pregrado
274;inbound;posgrado
193;inbound;pregrado
182;inbound;pregrado
160;inbound;pregrado
266;inbound;posgrado
167;inbound;pregrado
208;inbound;posgrado
207;inbound;pregrado
238;inbound;posgrado
241;inbound;pregrado
216;inbound;pregrado
39;prospeccion;pregrado
63;prospeccion;posgrado
51;prospeccion;pregrado
85;prospeccion;pregrado
109;prospeccion;pregrado
70;prospeccion;pregrado
142;prospeccion;pregrado
87;prospeccion;posgrado
60;prospeccion;posgrado
109;prospeccion;pregrado
97;prospeccion;pregrado
131;prospeccion;posgrado
125;prospeccion;posgrado
28;prospeccion;pregrado
113;prospeccion;posgrado
37;prospeccion;posgrado
120;prospeccion;posgrado
72;prospeccion;posgrado
86;prospeccion;posgrado
119;prospeccion;pregrado
127;prospeccion;pregrado
14;prospeccion;pregrado
144;prospeccion;pregrado
29;prospeccion;pregrado
56;prospeccion;pregrado
89;prospeccion;posgrado
98;prospeccion;posgrado
17;prospeccion;posgrado
42;prospeccion;pregrado
88;prospeccion;pregrado
83;prospeccion;posgrado
143;prospeccion;posgrado
17;prospeccion;pregrado
27;prospeccion;pregrado
75;prospeccion;pregrado
17;prospeccion;posgrado
101;prospeccion;posgrado
71;prospeccion;posgrado
84;prospeccion;pregrado
63;prospeccion;pregrado
71;prospeccion;posgrado
90;prospeccion;pregrado
70;prospeccion;pregrado
85;prospeccion;pregrado
29;prospeccion;posgrado
147;prospeccion;pregrado
21;prospeccion;pregrado
105;prospeccion;posgrado
88;prospeccion;posgrado
98;prospeccion;posgrado
30;prospeccion;posgrado
81;prospeccion;posgrado
90;prospeccion;pregrado
50;prospeccion;posgrado
112;prospeccion;pregrado
112;prospeccion;pregrado
108;prospeccion;posgrado
123;prospeccion;posgrado
132;prospeccion;posgrado
70;prospeccion;posgrado
116;prospeccion;posgrado
83;prospeccion;pregrado
146;prospeccion;posgrado
148;prospeccion;pregrado
15;prospeccion;posgrado
134;prospeccion;posgrado
99;prospeccion;posgrado
109;prospeccion;posgrado
59;prospeccion;posgrado
89;prospeccion;posgrado
123;prospeccion;pregrado
71;prospeccion;posgrado
43;prospeccion;posgrado
113;prospeccion;pregrado
14;prospeccion;pregrado
15;prospeccion;posgrado
92;prospeccion;posgrado
27;prospeccion;posgrado
91;prospeccion;pregrado
89;prospeccion;pregrado
35;prospeccion;pregrado
120;prospeccion;pregrado
137;prospeccion;pregrado
43;prospeccion;pregrado
93;prospeccion;pregrado
50;prospeccion;pregrado
63;prospeccion;posgrado
150;prospeccion;posgrado
105;prospeccion;posgrado
61;prospeccion;pregrado
122;prospeccion;pregrado
32;prospeccion;posgrado
31;prospeccion;pregrado
140;prospeccion;posgrado
123;prospeccion;posgrado
122;prospeccion;posgrado
104;prospeccion;pregrado
23;prospeccion;pregrado
114;prospeccion;posgrado
147;prospeccion;pregrado
134;prospeccion;pregrado
116;prospeccion;posgrado
10;prospeccion;pregrado
97;prospeccion;pregrado
139;prospeccion;posgrado
63;prospeccion;posgrado
139;prospeccion;posgrado
29;prospeccion;pregrado
102;prospeccion;posgrado
68;prospeccion;posgrado
79;prospeccion;posgrado
61;prospeccion;posgrado
29;prospeccion;posgrado
93;prospeccion;pregrado
115;prospeccion;pregrado
104;prospeccion;pregrado
57;prospeccion;posgrado
73;prospeccion;pregrado
111;prospeccion;posgrado
91;prospeccion;posgrado
146;prospeccion;posgrado
119;prospeccion;posgrado
24;prospeccion;pregrado
39;prospeccion;pregrado
61;prospeccion;posgrado
103;prospeccion;pregrado
42;prospeccion;pregrado
20;prospeccion;pregrado
40;prospeccion;pregrado
133;prospeccion;posgrado
37;prospeccion;posgrado
98;prospeccion;posgrado
33;prospeccion;posgrado
28;prospeccion;posgrado
43;prospeccion;pregrado
53;prospeccion;posgrado
56;prospeccion;pregrado
66;prospeccion;posgrado
54;prospeccion;pregrado
121;prospeccion;posgrado
129;prospeccion;posgrado
130;prospeccion;pregrado
113;prospeccion;pregrado
140;prospeccion;pregrado
25;prospeccion;pregrado
116;prospeccion;posgrado
54;prospeccion;pregrado
104;prospeccion;pregrado
102;prospeccion;pregrado
150;prospeccion;posgrado
85;prospeccion;posgrado
139;prospeccion;pregrado
133;prospeccion;pregrado
90;prospeccion;pregrado
31;prospeccion;pregrado
24;prospeccion;posgrado
34;prospeccion;pregrado
115;prospeccion;posgrado
16;prospeccion;posgrado
52;prospeccion;pregrado
36;prospeccion;pregrado
33;prospeccion;posgrado
108;prospeccion;posgrado
103;prospeccion;posgrado
107;prospeccion;pregrado
42;prospeccion;pregrado
140;prospeccion;posgrado
40;prospeccion;posgrado
16;prospeccion;posgrado
84;prospeccion;posgrado
135;prospeccion;posgrado
10;prospeccion;pregrado
53;prospeccion;posgrado
94;prospeccion;pregrado
94;prospeccion;posgrado
52;prospeccion;posgrado
82;prospeccion;pregrado
41;prospeccion;pregrado
120;prospeccion;pregrado
41;prospeccion;posgrado
114;prospeccion;pregrado
108;prospeccion;posgrado
42;prospeccion;posgrado
78;prospeccion;pregrado
142;prospeccion;posgrado
87;prospeccion;pregrado
54;prospeccion;posgrado
42;prospeccion;pregrado
37;prospeccion;pregrado
120;prospeccion;pregrado
38;prospeccion;posgrado
83;prospeccion;pregrado
102;prospeccion;posgrado
148;prospeccion;posgrado
48;prospeccion;posgrado
123;prospeccion;posgrado
41;prospeccion;posgrado
146;prospeccion;pregrado
69;prospeccion;pregrado
76;prospeccion;posgrado
30;prospeccion;posgrado
30;prospeccion;posgrado
130;prospeccion;posgrado
138;prospeccion;pregrado
121;prospeccion;pregrado
108;prospeccion;posgrado
19;prospeccion;posgrado
141;prospeccion;pregrado
109;prospeccion;pregrado
106;prospeccion;posgrado
13;prospeccion;posgrado
59;prospeccion;pregrado
146;prospeccion;pregrado
141;prospeccion;pregrado
125;prospeccion;pregrado
41;prospeccion;posgrado
118;prospeccion;pregrado
86;prospeccion;pregrado
132;prospeccion;pregrado
43;prospeccion;posgrado
101;prospeccion;pregrado
81;prospeccion;pregrado
114;prospeccion;posgrado
101;prospeccion;pregrado
31;prospeccion;posgrado
48;prospeccion;pregrado
128;prospeccion;pregrado
48;prospeccion;posgrado
55;prospeccion;pregrado
46;prospeccion;posgrado
70;prospeccion;posgrado
120;prospeccion;pregrado
36;prospeccion;pregrado
91;prospeccion;pregrado
54;prospeccion;posgrado
14;prospeccion;pregrado
44;prospeccion;pregrado
134;prospeccion;pregrado
115;prospeccion;posgrado
79;prospeccion;pregrado
122;prospeccion;posgrado
122;prospeccion;posgrado
34;prospeccion;posgrado
57;prospeccion;posgrado
132;prospeccion;pregrado
54;prospeccion;pregrado
113;prospeccion;posgrado
53;prospeccion;pregrado
150;prospeccion;posgrado
150;prospeccion;pregrado
100;prospeccion;pregrado
76;prospeccion;pregrado
95;prospeccion;posgrado
88;prospeccion;posgrado
106;prospeccion;pregrado
40;prospeccion;posgrado
94;prospeccion;pregrado
56;prospeccion;posgrado
93;prospeccion;pregrado
49;prospeccion;posgrado
108;prospeccion;pregrado
123;prospeccion;pregrado
98;prospeccion;posgrado
95;prospeccion;pregrado
81;prospeccion;pregrado
40;prospeccion;pregrado
141;prospeccion;posgrado
139;prospeccion;pregrado
118;prospeccion;pregrado
51;prospeccion;pregrado
82;prospeccion;posgrado
108;prospeccion;posgrado
116;prospeccion;pregrado
77;prospeccion;posgrado
146;prospeccion;pregrado
17;prospeccion;posgrado
149;prospeccion;pregrado
82;prospeccion;posgrado
98;prospeccion;posgrado
143;prospeccion;posgrado
56;prospeccion;pregrado
123;prospeccion;posgrado
63;prospeccion;posgrado
119;prospeccion;posgrado
41;prospeccion;posgrado
88;prospeccion;posgrado
31;prospeccion;posgrado
99;prospeccion;posgrado
114;prospeccion;posgrado
55;prospeccion;pregrado
38;prospeccion;posgrado
125;prospeccion;pregrado
89;prospeccion;pregrado
56;prospeccion;pregrado
75;prospeccion;posgrado
84;prospeccion;pregrado
28;prospeccion;pregrado
53;prospeccion;pregrado
59;prospeccion;pregrado
30;prospeccion;posgrado
130;prospeccion;pregrado
31;prospeccion;pregrado
127;prospeccion;posgrado
107;prospeccion;pregrado
47;prospeccion;posgrado
53;prospeccion;posgrado
58;prospeccion;pregrado
138;prospeccion;pregrado
97;prospeccion;pregrado
119;prospeccion;posgrado
11;prospeccion;posgrado
129;prospeccion;pregrado
83;prospeccion;pregrado
25;prospeccion;posgrado
96;prospeccion;posgrado
149;prospeccion;pregrado
115;prospeccion;pregrado
61;prospeccion;pregrado
82;prospeccion;posgrado
134;prospeccion;posgrado
134;prospeccion;pregrado
16;prospeccion;pregrado
113;prospeccion;posgrado
55;prospeccion;posgrado
21;prospeccion;posgrado
101;prospeccion;posgrado
76;prospeccion;pregrado
38;prospeccion;pregrado
50;prospeccion;posgrado
105;prospeccion;pregrado
35;prospeccion;pregrado
80;prospeccion;posgrado
58;prospeccion;posgrado
118;prospeccion;posgrado
119;prospeccion;pregrado
69;prospeccion;posgrado
19;prospeccion;pregrado
100;prospeccion;posgrado
